name,description,category
Regular Wear,Regular Wear,Apparel
Party Wear,Party Wear,Apparel
Foot Wear,Foot Wear,Apparel
Accessories,Accessories,Apparel
Iron & Sew,Iron & Sew,Apparel
Equipment,Equipment,House
Fittings & Spares,Fittings & Spares,House
Servicing,Servicing,House
Domestic Help,Domestic Help,House
Furniture,Furniture,House
Kitchenware,Kitchenware,House
Rent,Rent,House
Fuel & Air,Fuel & Air,Transport
Cleaning,Cleaning,Transport
Maintenance,Maintenance,Transport
Fare,Fare,Transport
Parking & Toll,Parking & Toll,Transport
Schooling,Schooling,Education
Hobbies,Hobbies,Education
Stationery,Stationery,Education
Internet,Internet,Utilities
Cable,Cable,Utilities
Electricity,Electricity,Utilities
Cooking Gas,Cooking Gas,Utilities
Water,Water,Utilities
Mobile charges,Mobile charges,Utilities
Gifts,Gifts,Social
Ceremony,Ceremony,Social
Donation,Donation,Social
Offerings,Offerings,Social
Consultation,Consultation,Health
Diagnostics,Diagnostics,Health
Health Aid,Health Aid,Health
Medicines,Medicines,Health
Hospitalization,Hospitalization,Health
Produce,Produce,FoodStuff
Groceries,Groceries,FoodStuff
Dairy,Dairy,FoodStuff
Snacks,Snacks,FoodStuff
Ready meals,Ready meals,FoodStuff
Personal,Personal,Clean & Groom
Household,Household,Clean & Groom
Dine Out,Dine Out,Recreation
Gadgets & Toys,Gadgets & Toys,Recreation
Movies,Movies,Recreation
Vacation,Vacation,Recreation
FI Charges,FI Charges,Dues
Tax,Tax,Dues
Insurance,Insurance,Dues
Debt,Debt,Dues
Learning,Learning,Professional
Networking,Networking,Professional
